REGIÃO,BAIRRO,FURTOS,LESAO,ROUBOS,ACIDENTES_TRANSITO,ESTUPRO,HOMICIDIO,TENT_HOMICIDIO,TOTAL
CENTRO,REPÚBLICA,0,0,0,0,0,0,0,0
CENTRO,BELA VISTA,1,0,5,5,1,2,2,2
CENTRO,CONSOLAÇÃO,2,6,6,6,2,6,5,4
CENTRO,SÉ,3,6,7,7,7,8,5,6
CENTRO,LIBERDADE,5,7,8,7,8,10,7,7
CENTRO,BOM RETIRO,6,8,8,8,10,0,10,7
CENTRO,SANTA CECÍLIA,7,8,8,9,10,0,10,7
CENTRO,CAMBUCI,10,10,10,10,10,1,0,7
LESTE,BRÁS,0,0,0,0,0,5,2,1
LESTE,TATUAPÉ,1,3,0,0,0,5,3,1
LESTE,ERMELINO MATARAZZO,3,3,1,1,1,6,3,2
LESTE,SÃO MATEUS,5,3,1,1,1,6,5,3
LESTE,SAPOPEMBA,5,4,2,2,3,6,5,3
LESTE,ITAIM PAULISTA,5,4,2,2,3,6,5,3
LESTE,VILA PRUDENTE,6,4,2,2,4,6,6,4
LESTE,ITAQUERA,6,5,3,4,4,6,6,4
LESTE,GUAIANASES,6,5,3,4,5,6,6,5
LESTE,PENHA,6,5,4,4,5,8,6,5
LESTE,ARTUR ALVIM,6,5,5,5,5,8,6,5
LESTE,VILA MATILDE,7,6,5,5,6,10,7,6
LESTE,ARICANDUVA,7,6,5,5,6,10,7,6
LESTE,SÃO LUCAS,7,6,6,5,6,10,7,6
LESTE,CIDADE TIRADENTES,7,6,6,5,6,10,8,6
LESTE,BELÉM,7,6,6,5,6,10,8,6
LESTE,CANGAÍBA,7,6,6,5,6,10,8,6
LESTE,VILA FORMOSA,7,6,6,6,6,10,8,7
LESTE,CARRÃO,7,7,6,6,7,10,8,7
LESTE,ÁGUA RASA,7,7,6,6,7,0,8,5
LESTE,VILA JACUÍ,7,7,6,6,7,1,8,6
LESTE,PARQUE DO CARMO,7,7,6,6,8,3,8,6
LESTE,VILA CURUÇÁ,7,7,6,6,8,5,8,6
LESTE,CIDADE LÍDER,8,7,7,6,8,6,10,7
LESTE,LAJEADO,8,7,7,7,8,6,10,7
LESTE,SÃO RAFAEL,8,7,7,7,9,7,10,7
LESTE,PONTE RASA,8,7,7,7,9,8,10,8
LESTE,JARDIM HELENA,8,7,7,7,9,10,0,6
LESTE,IGUATEMI,9,8,8,8,10,10,3,8
LESTE,JOSÉ BONIFÁCIO,10,10,10,10,0,10,3,7
NORTE,SANTANA,0,0,0,0,2,0,5,1
NORTE,BRASILÂNDIA,3,0,0,0,2,2,5,1
NORTE,JAÇANÃ,4,3,0,1,4,2,5,2
NORTE,VILA MARIA,5,4,1,3,5,4,6,4
NORTE,PIRITUBA,5,4,2,4,6,4,6,4
NORTE,FREGUESIA DO Ó,5,5,2,4,6,8,6,5
NORTE,VILA GUILHERME,6,5,3,5,6,8,7,5
NORTE,CASA VERDE,6,6,5,5,7,10,7,6
NORTE,JARAGUÁ,7,6,6,6,8,10,7,7
NORTE,CACHOEIRINHA,7,6,6,6,8,10,8,7
NORTE,TUCURUVI,7,7,7,6,8,10,10,7
NORTE,VILA MEDEIROS,7,7,7,7,8,0,10,6
NORTE,LIMÃO,7,8,7,8,8,1,0,5
NORTE,PERUS,8,8,7,8,9,5,1,6
NORTE,MANDAQUI,8,8,8,9,9,6,7,7
NORTE,ANHANGUERA,9,10,8,10,10,7,7,8
NORTE,SÃO DOMINGOS,10,0,10,0,0,7,8,5
OESTE,PINHEIROS,0,2,0,3,4,8,8,3
OESTE,BARRA FUNDA,4,3,1,5,4,8,10,5
OESTE,ITAIM BIBI,4,4,4,5,4,8,10,5
OESTE,JARDIM PAULISTA,4,4,6,7,4,9,10,6
OESTE,LAPA,5,5,6,7,5,9,0,5
OESTE,MORUMBI,6,6,6,7,7,9,1,6
OESTE,PERDIZES,7,6,6,7,7,9,3,6
OESTE,BUTANTÃ,7,6,6,8,9,10,4,7
OESTE,RAPOSO TAVARES,8,7,8,9,9,0,5,6
OESTE,JAGUARÉ,8,7,8,9,9,0,6,6
OESTE,RIO PEQUENO,8,10,9,10,10,0,7,7
OESTE,JAGUARA,9,0,10,0,0,0,7,3
OESTE,VILA LEOPOLDINA,10,1,0,1,0,0,7,2
SUL,VILA MARIANA,0,1,1,3,2,0,8,2
SUL,IPIRANGA,4,2,3,3,2,0,9,3
SUL,CIDADE DUTRA,4,3,4,3,4,0,9,3
SUL,JARDIM ÂNGELA,4,4,5,4,5,0,9,4
SUL,CAMPO LIMPO,4,4,5,4,6,0,10,4
SUL,JABAQUARA,5,5,6,4,7,0,10,5
SUL,GRAJAÚ,5,5,6,4,7,0,0,3
SUL,CAMPO GRANDE,5,7,6,5,8,0,0,4
SUL,CAPÃO REDONDO,5,7,6,5,9,0,0,4
SUL,CIDADE ADEMAR,6,7,7,6,9,0,0,5
SUL,CAMPO BELO,6,8,7,7,9,0,0,5
SUL,SACOMÃ,6,8,7,7,9,0,0,5
SUL,MOEMA,6,9,8,8,10,0,0,5
SUL,SAÚDE,7,9,9,10,10,0,0,6
SUL,JARDIM SÃO LUÍS,9,10,9,0,0,0,0,4
SUL,CURSINO,9,0,10,0,0,0,0,2
SUL,MARSILAC,10,0,0,0,0,0,0,1
